"((None, None, None, None, None, None, 2, 2, 2, 2, None, 2, 3, 1, 1, None, 2, 1, 2, 2, None, 2, 1, 2, 2),)",[-0.53106572  1.9        -1.         92.52348102]
"((None, None, None, None, None, 2, 2, 2, 2, 2, 2, 3, 1, 1, 1, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2),)",[-1.         -0.20865741 -0.1         0.        ]
"((None, None, None, None, None, 2, 2, 2, 2, 2, 2, 0, 3, 1, 1, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2),)",[-1.9         0.         -0.1        15.03147425]
"((None, None, None, None, None, None, 2, 2, 2, 2, None, 2, 0, 3, 1, None, 2, 1, 2, 2, None, 2, 1, 2, 2),)",[-1.   1.   0.  -0.1]
"((None, None, None, None, None, 2, 2, 2, 2, 2, 2, 3, 0, 1, 1, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2),)",[0. 0. 0. 1.]
"((None, None, None, None, None, 2, 2, 2, 2, 2, 0, 3, 1, 1, 1, 1, 2, 2, 2, 1, 1, 2, 2, 2, 1),)",[-1.          0.         -0.1        92.21793463]
"((None, None, None, None, None, 2, 2, 2, 2, 2, 0, 3, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1),)",[-0.91       -0.8209     -0.1        91.89776722]
"((None, None, None, None, None, 2, 2, 2, 2, 2, 0, 0, 0, 3, 1, 1, 2, 2, 2, 1, 1, 2, 2, 2, 1),)",[ 0.   0.  -0.1 -0.1]
"((None, None, None, None, None, 2, 2, 2, 2, 2, 0, 3, 0, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1),)",[-0.91 -1.    0.    0.  ]
"((None, None, None, None, None, 2, 2, 2, 2, 2, 0, 0, 3, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1),)",[ 0.     -0.8209 -0.1     2.881 ]
"((None, None, None, None, None, 2, 2, 2, 2, 2, 0, 3, 1, 1, 1, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1),)",[-1.         91.53718296 -0.19        1.        ]
"((2, 2, 2, 2, 2, 0, 0, 3, 1, 1, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2),)",[-0.15751    91.13792363  0.          0.        ]
"((None, None, None, None, None, 2, 2, 2, 2, 2, 0, 0, 0, 1, 1, 2, 2, 3, 2, 2, 2, 2, 1, 1, 1),)",[-1.  -0.1 -0.1  2.8]
"((None, None, None, None, None, 2, 2, 2, 2, 2, 0, 0, 3, 1, 1, 2, 2, 0, 2, 2, 2, 2, 1, 1, 1),)",[0.  0.  0.  1.9]
"((None, None, None, None, None, 2, 2, 2, 2, 2, 0, 3, 1, 1, 1, 2, 0, 2, 2, 2, 2, 1, 1, 1, 1),)",[-1.   -0.91 -0.1   1.9 ]
"((None, None, None, None, None, 2, 2, 2, 2, 2, 0, 0, 0, 3, 1, 2, 2, 0, 2, 2, 2, 2, 1, 1, 1),)",[-1.   -0.19  0.    0.  ]
"((2, 2, 2, 2, 2, 0, 0, 3, 0, 1, 2, 2, 0, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2),)",[-0.1  1.9 -1.   0. ]
"((None, None, None, None, None, 2, 2, 2, 2, 2, 0, 0, 0, 0, 1, 2, 2, 3, 2, 2, 2, 2, 1, 1, 1),)",[-1.  -0.1  0.  -0.1]
"((2, 2, 2, 2, 2, 0, 0, 0, 0, 1, 2, 2, 3, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2),)",[-0.1    0.    -2.71  -3.439]
"((None, None, None, None, None, 2, 2, 2, 2, 2, 0, 3, 0, 1, 1, 2, 0, 2, 2, 2, 2, 1, 1, 1, 1),)",[-1.   0.  -0.1  0. ]
"((0, 0, 0, 0, 1, 2, 2, 3, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2, 1, 1, 1, 1, 1),)",[-0.19  0.    0.    0.  ]
"((2, 2, 2, 2, 2, 0, 0, 0, 0, 1, 2, 2, 0, 2, 2, 2, 2, 3, 1, 1, 2, 2, 1, 2, 2),)",[-0.1 -0.1 -1.   0. ]
"((2, 2, 2, 2, 2, 0, 0, 0, 0, 1, 2, 2, 3, 2, 2, 2, 2, 0, 1, 1, 2, 2, 1, 2, 2),)",[-0.1  0.   0.  -1. ]
"((None, None, None, None, None, 2, 2, 2, 2, 2, 0, 0, 0, 0, 1, 2, 2, 3, 2, 2, 2, 2, 0, 1, 1),)",[ 0.   0.  -0.1 -0.1]
"((None, None, None, None, None, 2, 2, 2, 2, 2, 0, 3, 0, 1, 1, 2, 0, 2, 2, 2, 2, 0, 1, 1, 1),)",[-1.    -0.829  0.     0.   ]
"((None, None, None, None, None, 2, 2, 2, 2, 2, 0, 0, 3, 1, 1, 2, 0, 2, 2, 2, 2, 0, 1, 1, 1),)",[ 0.     -0.7561  0.      3.439 ]
"((None, None, None, None, None, 2, 2, 2, 2, 2, 0, 3, 1, 1, 1, 0, 2, 2, 2, 2, 0, 1, 1, 1, 1),)",[-0.91       -1.         -0.1        19.02376484]
"((None, None, None, None, None, 2, 2, 2, 2, 2, 0, 0, 3, 1, 1, 0, 2, 2, 2, 2, 0, 1, 1, 1, 1),)",[ 0.         -1.          0.          3.20841739]
"((None, None, None, None, None, 2, 2, 2, 2, 2, 0, 3, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1),)",[-0.83523572 -1.         -0.1        22.94130414]
