"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 4),)",[-1.47232266 -9.5        -2.39013759 43.11715683]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 4),)",[-1.  0. -1.  0.]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 1.0, 4, 1.0),)",[0. 1. 0. 0.]
"((None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 1.0, 4, 1.0, None, 2.0, 2.0, 2.0, 2.0),)",[0. 1. 0. 0.]
"((None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 0.0, 4, 1.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 2.0, 2.0, 2.0, None, None, None, None, None),)",[ 0. -1.  0.  0.]
"((None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 0.0, 4, 1.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 2.0, 2.0, 2.0, None, None, None, None, None),)",[-5.  0.  0.  0.]
"((None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 4, 1.0, 1.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 2.0, 2.0, 2.0),)",[0. 0. 0. 0.]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 4, 1.0, 1.0, None, 2.0, 1.0, 1.0, 1.0),)",[ 0.          0.         -1.         13.60736111]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 4, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0),)",[0. 1. 0. 0.]
"((2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 1.0, 1.0, 4, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0),)",[-0.1        -4.91        2.73748935 -5.        ]
"((None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 4, 1.0, 1.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 2.0, 2.0, 2.0),)",[0. 0. 0. 0.]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 4, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0),)",[-1.         36.85817038 -0.1         1.9       ]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 4, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0),)",[-1.  0.  0.  0.]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 4, 1.0, 2.0),)",[-1. -5.  0.  0.]
"((2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 1.0, 4, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0),)",[0. 0. 0. 0.]
"((2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 4, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0),)",[-0.1       -5.        28.3602537 -6.245    ]
"((2.0, 2.0, 2.0, 2.0, None, 0.0, 0.0, 1.0, 2.0, None, 1.0, 0.0, 4, 2.0, None, 1.0, 1.0, 1.0, 2.0, None, 2.0, 2.0, 2.0, 2.0, None),)",[0. 0. 0. 0.]
"((2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 2.0, 1.0, 4, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, None, None, None, None, None),)",[0. 0. 0. 0.]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 1.0, 0.0, 4, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0),)",[-1.  -0.1 -0.1  0. ]
"((2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 4, 2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0),)",[-0.1  0.   0.   0. ]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 4, 2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0),)",[-5.  0.  0.  0.]
"((None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 1.0, 0.0, 1.0, None, 2.0, 1.0, 4, 1.0, None, 2.0, 2.0, 2.0, 2.0),)",[-0.1 10.   0.   0. ]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 1.0, 4, 1.0),)",[-1.  0.  0.  0.]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 0.0, 4, 1.0, None, 2.0, 1.0, 1.0, 1.0),)",[-1.   -0.19 -1.   -5.09]
"((None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 4, 1.0, None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 2.0, 2.0, 2.0),)",[-0.1  1.   0.   0. ]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 4, 1.0, None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 1.0, 1.0, 1.0),)",[-5.  0.  0.  0.]
"((None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 1.0, 4, 1.0, None, 2.0, 2.0, 2.0, 2.0, None, None, None, None, None),)",[  0. -41.   0.   0.]
"((2.0, 2.0, 2.0, 2.0, None, 0.0, 0.0, 1.0, 2.0, None, 1.0, 0.0, 1.0, 2.0, None, 1.0, 4, 1.0, 2.0, None, 2.0, 2.0, 2.0, 2.0, None),)",[1.9 0.  0.  0. ]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 0.0, 0.0, 1.0, 2.0, None, 1.0, 0.0, 0.0, 2.0, None, 1.0, 4, 1.0, 2.0, None),)",[-1.  -0.1  0.   0. ]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 0.0, 0.0, 0.0, 2.0, None, 1.0, 4, 0.0, 2.0, None, 1.0, 1.0, 1.0, 2.0, None),)",[-1.  -0.1 -0.1  0. ]
"((2.0, 2.0, 2.0, 2.0, None, 0.0, 4, 0.0, 2.0, None, 1.0, 0.0, 0.0, 2.0, None, 1.0, 1.0, 1.0, 2.0, None, 2.0, 2.0, 2.0, 2.0, None),)",[-0.1  0.   0.  -1. ]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 2.0, 2.0, 1.0, 4, 0.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0),)",[ 0.  0. -5.  0.]
"((None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 1.0, 0.0, 4, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 2.0, 2.0, 2.0),)",[-0.19       34.84800735  0.         -0.1       ]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 0.0, 0.0, 4, None, 2.0, 1.0, 1.0, 1.0),)",[-1.  -0.1  0.   0. ]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 4, 0.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0),)",[-1.  -5.  -0.1  0. ]
"((2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 4, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0),)",[0. 0. 0. 0.]
"((None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 0.0, 0.0, 4, None, 2.0, 1.0, 1.0, 1.0, None, 2.0, 2.0, 2.0, 2.0, None, None, None, None, None),)",[-0.19       -1.         -1.         27.32416488]
"((None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 0.0, 1.0, 4, None, 2.0, 2.0, 2.0, 2.0),)",[-0.1 -0.1 -1.  -0.1]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 0.0, 1.0, 4),)",[-1.  0.  0.  0.]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 0.0, 4, 1.0),)",[-1.   -0.19 -1.   -0.19]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 4, 1.0, 1.0, 2.0),)",[-1.  -0.1  0.   0. ]
"((2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 4, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0),)",[ -0.1         -5.          -0.12680307 -17.25665   ]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 4, 1.0, 2.0),)",[-1.         -0.1        -0.1        31.17892453]
"((None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 4, 1.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0),)",[-5.9 -5.   0.   0. ]
"((None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 0.0, 1.0, 4, None, 2.0, 2.0, 2.0, 2.0, None, None, None, None, None),)",[-0.1  0.   0.   0. ]
"((None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 0.0, 0.0, 4, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 2.0, 2.0, 2.0, None, None, None, None, None),)",[-0.1  0.   0.   0. ]
"((None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 0.0, 0.0, 4, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 2.0, 2.0, 2.0),)",[-0.1  0.   0.   0. ]
"((None, None, None, None, None, None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 0.0, 4, 1.0, None, 2.0, 0.0, 1.0, 1.0),)",[-1.  -0.1  0.   0. ]
"((None, 2.0, 2.0, 2.0, 2.0, None, 2.0, 0.0, 4, 1.0, None, 2.0, 0.0, 0.0, 1.0, None, 2.0, 0.0, 1.0, 1.0, None, 2.0, 2.0, 2.0, 2.0),)",[-0.1  0.   0.   0. ]
